"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: param"
"com.wei.orm.BatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.004547,0.000348,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.008885,0.000898,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.061033,0.001368,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.583798,0.012714,"s/op",10000
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.001389,0.000086,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.010049,0.000226,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.114390,0.002105,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,11.998640,0.191290,"s/op",10000
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.001199,0.000041,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.012023,0.000408,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.120470,0.001365,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,10,1.203919,0.019869,"s/op",10000
"com.wei.orm.BatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.001437,0.000056,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.008043,0.000317,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.058788,0.000496,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.679554,0.007962,"s/op",10000
"com.wei.orm.BatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.006434,0.004090,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.043159,0.004123,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.418265,0.016523,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.jpaUpdate","avgt",1,10,4.967703,0.096781,"s/op",10000
"com.wei.orm.BatchUpdateBenchmark.myBatisPluUpdate","avgt",1,10,0.002068,0.000088,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.myBatisPluUpdate","avgt",1,10,0.007999,0.000244,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.myBatisPluUpdate","avgt",1,10,0.072639,0.000421,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.myBatisPluUpdate","avgt",1,10,0.727814,0.010114,"s/op",10000
"com.wei.orm.BatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.000139,0.000004,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.001162,0.000091,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.006884,0.000249,"s/op",1000
"com.wei.orm.BatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.037180,0.000435,"s/op",10000
