"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: param"
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.004336,0.000254,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.007520,0.000630,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.042709,0.001119,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.401142,0.008474,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.000219,0.000011,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.002178,0.000081,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.014668,0.000255,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.136105,0.002346,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.000892,0.000028,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.009111,0.000416,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.094757,0.001184,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.927845,0.018063,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.000286,0.000040,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.003678,0.000405,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.020650,0.000609,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.214888,0.002850,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.001921,0.000345,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.015198,0.000239,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.146426,0.001622,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,1.470058,0.008639,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.000694,0.000035,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.004920,0.000111,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.044889,0.000457,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.448756,0.002832,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.000120,0.000005,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.000969,0.000114,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.005674,0.000141,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.028699,0.002322,"s/op",10000
