"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: param"
"com.wei.orm.BatchUpdateBenchmark.batchUpdate","avgt",1,5,0.099459,0.059237,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.batchUpdate","avgt",1,5,0.230836,0.050450,"s/op",50
"com.wei.orm.BatchUpdateBenchmark.batchUpdate","avgt",1,5,0.427595,0.144734,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,5,0.067269,0.003787,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,5,0.072273,0.005277,"s/op",50
"com.wei.orm.BatchUpdateBenchmark.caseWhenUpdate","avgt",1,5,0.131126,0.026470,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,5,0.806616,1.318781,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,5,4.272959,1.196323,"s/op",50
"com.wei.orm.BatchUpdateBenchmark.foreachUpdate","avgt",1,5,9.458162,1.345953,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.initialUpdate","avgt",1,5,1.180197,0.933540,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.initialUpdate","avgt",1,5,2.738017,1.308890,"s/op",50
"com.wei.orm.BatchUpdateBenchmark.initialUpdate","avgt",1,5,5.143357,0.918554,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.saveAllAndFlush","avgt",1,5,0.764788,0.606386,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.saveAllAndFlush","avgt",1,5,2.252573,0.968863,"s/op",50
"com.wei.orm.BatchUpdateBenchmark.saveAllAndFlush","avgt",1,5,5.176716,1.334012,"s/op",100
"com.wei.orm.BatchUpdateBenchmark.updateBatchPlus","avgt",1,5,0.569030,0.143376,"s/op",10
"com.wei.orm.BatchUpdateBenchmark.updateBatchPlus","avgt",1,5,3.551067,0.778608,"s/op",50
"com.wei.orm.BatchUpdateBenchmark.updateBatchPlus","avgt",1,5,5.254067,0.938959,"s/op",100
